City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,Khatanga,71.9667,102.5,-38.45,97,68,6.51,RU,2023-01-24 19:23:02
127,Batemans Bay,-35.7167,150.1833,67.1,97,40,2.44,AU,2023-01-24 19:23:02
128,Tasiilaq,65.6145,-37.6368,17.76,64,92,7.45,GL,2023-01-24 19:16:19
129,Pout,14.7739,-17.0603,74.16,73,0,8.05,SN,2023-01-24 19:23:03
130,Darnah,32.767,22.6367,58.73,71,0,11.27,LY,2023-01-24 19:23:03
131,Ribeira Grande,38.5167,-28.7,61.2,77,40,18.41,PT,2023-01-24 19:23:03
132,Thinadhoo,0.5333,72.9333,80.01,79,59,10.85,MV,2023-01-24 19:21:24
133,Nuevitas,21.5453,-77.2644,81.75,58,1,13.13,CU,2023-01-24 19:24:04
134,Southbridge,42.0751,-72.0334,38.62,82,43,7.0,US,2023-01-24 19:24:04
135,Kalispell,48.1958,-114.3129,30.24,80,100,9.22,US,2023-01-24 19:23:14
136,Great Yarmouth,52.6083,1.7305,40.01,84,0,2.1,GB,2023-01-24 19:24:05
137,Taoudenni,22.6783,-3.9836,69.94,15,0,2.39,ML,2023-01-24 19:24:05
138,Katsuura,35.1333,140.3,30.49,49,6,28.36,JP,2023-01-24 19:24:06
139,Meadow Lake,34.8014,-106.5436,42.31,41,66,15.61,US,2023-01-24 19:24:06
140,San Patricio,28.017,-97.5169,78.66,80,95,20.94,US,2023-01-24 19:24:06
141,Avarua,-21.2078,-159.775,82.45,74,20,4.61,CK,2023-01-24 19:24:07
142,Meulaboh,4.1363,96.1285,74.23,91,100,4.52,ID,2023-01-24 19:24:07
143,Erenhot,43.6475,111.9767,-1.97,67,0,12.86,CN,2023-01-24 19:24:07
144,Labuhan,-6.8844,112.2051,78.39,86,100,6.13,ID,2023-01-24 19:24:08
145,Mount Isa,-20.7333,139.5,76.77,73,100,3.44,AU,2023-01-24 19:24:08
146,Brits,-25.6347,27.7802,81.28,28,0,2.28,ZA,2023-01-24 19:24:08
147,Kapaa,22.0752,-159.319,75.18,87,20,6.91,US,2023-01-24 19:17:20
148,Wanning,18.8003,110.3967,59.4,73,100,10.96,CN,2023-01-24 19:24:09
149,Nhulunbuy,-12.2333,136.7667,79.41,94,68,0.0,AU,2023-01-24 19:24:09
150,Louga,58.7372,29.8453,29.46,94,100,7.58,RU,2023-01-24 19:24:09
151,Pagudpud,18.5616,120.7868,67.86,88,100,26.55,PH,2023-01-24 19:24:10
152,Poum,-20.2333,164.0167,80.94,79,11,6.53,NC,2023-01-24 19:21:30
153,Biharamulo,-2.6319,31.3089,61.56,88,100,3.47,TZ,2023-01-24 19:24:10
154,Luanda,-8.8368,13.2343,82.4,78,40,6.91,AO,2023-01-24 19:20:12
