WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
534,La Primavera,CO,5.4906,-70.4092,77.9,49,74,5.14,broken clouds
535,Necochea,AR,-38.5473,-58.7368,65.95,91,0,8.43,clear sky
536,West Richland,US,46.3043,-119.3614,29.39,47,0,4.61,clear sky
537,Soure,BR,-0.7167,-48.5233,76.87,85,99,6.64,light rain
538,Mancio Lima,BR,-7.6142,-72.8958,70.65,99,98,2.24,overcast clouds
539,Shingu,JP,33.7333,135.9833,48.9,35,2,3.51,clear sky
540,Riverton,US,40.5219,-111.9391,14.23,72,0,5.75,clear sky
541,Bandarbeyla,SO,9.4942,50.8122,73.6,75,51,15.79,light rain
542,Puro,PH,12.4841,123.3827,81.18,77,94,16.02,overcast clouds
543,Coquimbo,CL,-29.9533,-71.3436,62.33,94,75,5.75,broken clouds
544,Basoko,CD,1.2391,23.616,68.79,89,46,3.33,scattered clouds
545,Nakusp,CA,50.2499,-117.8023,17.94,86,100,1.14,light snow
546,Campos Novos,BR,-27.4017,-51.225,59.63,96,78,3.29,broken clouds
547,Korla,CN,41.7597,86.1469,24.03,50,100,2.26,overcast clouds
548,Onoda,JP,34.0014,131.1836,51.3,46,20,5.75,few clouds
549,Limbang,MY,4.75,115.0,86.11,74,98,1.23,overcast clouds
550,Husavik,IS,66.0449,-17.3389,27.28,88,100,28.97,light snow
551,Matara,LK,5.9485,80.5353,77.32,81,92,7.61,overcast clouds
552,Havoysund,NO,70.9963,24.6622,30.43,69,92,11.01,light snow
553,Concarneau,FR,47.875,-3.9225,43.59,80,87,6.33,overcast clouds
554,Verkhnyaya Inta,RU,65.9811,60.3094,5.56,85,100,4.27,overcast clouds
555,Olinda,BR,-8.0089,-34.8553,82.13,65,40,9.22,scattered clouds
556,Koratla,IN,18.8167,78.7167,79.12,46,84,3.2,broken clouds
557,Svetlaya,RU,46.5389,138.3297,15.17,44,0,5.46,clear sky
558,Brigantine,US,39.4101,-74.3646,43.02,93,2,1.99,clear sky
559,Sudislavl,RU,57.8817,41.7083,25.81,94,100,13.11,light snow
560,Ramygala,LT,55.5167,24.3,35.89,97,100,13.29,overcast clouds
561,Birin,NP,26.8865,88.0718,63.61,40,93,4.41,overcast clouds
562,Nemuro,JP,43.3236,145.575,25.43,52,100,15.48,overcast clouds
563,Robertsport,LR,6.7533,-11.3686,77.92,88,88,3.06,overcast clouds
